lokasi,nama_komoditas,2020-01-01,2020-01-02,2020-01-03,2020-01-04,2020-01-05,2020-01-06,2020-01-07,2020-01-08,2020-01-09,2020-01-10,2020-01-11,2020-01-12,2020-01-13,2020-01-14,2020-01-15,2020-01-16,2020-01-17,2020-01-18,2020-01-19,2020-01-20,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31
"Pasar Sederhana","Beras Medium",0,11000,11000,0,0,11000,11000,0,11000,11000,0,0,0,0,11000,11000,11000,0,0,0,11000,11000,11000,11000,0,0,11000,11000,0,11000,0
"Pasar Sederhana","Cabe Merah",0,45000,45000,0,0,40000,40000,0,40000,60000,0,0,0,0,70000,70000,70000,0,0,0,80000,80000,80000,70000,0,0,70000,80000,0,80000,0
"Pasar Sederhana","Bawang Merah",0,40000,35000,0,0,32000,40000,0,40000,40000,0,0,0,0,30000,30000,28000,0,0,0,30000,30000,30000,28000,0,0,28000,30000,0,30000,0
"Pasar Sederhana","Daging Ayam Ras",0,35000,34000,0,0,34000,34000,0,34000,34000,0,0,0,0,38000,35000,34000,0,0,0,32000,32000,32000,32000,0,0,32000,32000,0,32000,0
"Pasar Sederhana","Telur Ayam Ras",0,25000,25000,0,0,25000,24000,0,24000,24000,0,0,0,0,24000,24000,24000,0,0,0,24000,24000,24000,44000,0,0,24000,24000,0,24000,0
"Pasar Sederhana","Daging Sapi",0,110000,110000,0,0,110000,110000,0,110000,110000,0,0,0,0,110000,110000,110000,0,0,0,110000,110000,110000,110000,0,0,110000,110000,0,110000,0
"Pasar Sederhana","Minyak Goreng",0,14000,14000,0,0,14000,14000,0,14000,14000,0,0,0,0,14000,14000,14000,0,0,0,14000,14000,14000,14000,0,0,14000,14000,0,14000,0
"Pasar Sederhana","Gula Pasir",0,13000,13000,0,0,13000,13000,0,13000,13000,0,0,0,0,13000,13000,13000,0,0,0,13500,13000,13000,13000,0,0,13000,13000,0,13000,0
"Pasar Sederhana",Kentang,0,15000,15000,0,0,15000,15000,0,15000,15000,0,0,0,0,15000,15000,15000,0,0,0,18000,18000,18000,17000,0,0,17000,18000,0,18000,0
"Pasar Sederhana",Kedelai,0,12000,12000,0,0,12000,12000,0,12000,12000,0,0,0,0,12000,12000,12000,0,0,0,12000,12000,12000,12000,0,0,12000,12000,0,12000,0
"Pasar Sederhana","Tepung Terigu",0,7500,7500,0,0,7500,7500,0,7500,7500,0,0,0,0,7500,7500,7500,0,0,0,7500,7500,7500,7500,0,0,7500,7500,0,7500,0
"Pasar Sederhana","Bawang Putih",0,35000,0,0,0,32000,0,0,35000,40000,0,0,0,0,35000,35000,35000,0,0,0,35000,35000,35000,32000,0,0,32000,35000,0,35000,0
"Pasar Sederhana","Cabe Keriting",0,48000,48000,0,0,50000,55000,0,55000,55000,0,0,0,0,55000,55000,60000,0,0,0,60000,60000,60000,50000,0,0,60000,60000,0,60000,0
"Pasar Sederhana","Cabe Rawit",0,50000,40000,0,0,40000,60000,0,60000,60000,0,0,0,0,70000,70000,70000,0,0,0,100000,100000,100000,80000,0,0,80000,90000,0,90000,0
"Pasar Sederhana","Kacang Tanah",0,30000,30000,0,0,26000,26000,0,26000,26000,0,0,0,0,26000,26000,30000,0,0,0,30000,30000,30000,30000,0,0,30000,30000,0,30000,0
"Pasar Sederhana","Ubi Kayu",0,5000,5000,0,0,5000,5000,0,5000,5000,0,0,0,0,5000,5000,5000,0,0,0,5000,5000,5000,5000,0,0,5000,5000,0,5000,0
"Pasar Sederhana","Ubi Jalar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Sederhana",Jagung,0,12000,12000,0,0,12000,10000,0,10000,10000,0,0,0,0,10000,10000,10000,0,0,0,10000,10000,10000,10000,0,0,10000,10000,0,10000,0
"Pasar Sederhana","Ikan Olahan",0,80000,80000,0,0,80000,80000,0,80000,80000,0,0,0,0,80000,80000,80000,0,0,0,80000,80000,80000,80000,0,0,80000,80000,0,80000,0
"Pasar Sederhana","Beras Premium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pasar Sederhana","Minyak Goreng Curah",0,12000,12000,0,0,12000,12000,0,12000,12000,0,0,0,0,12000,12000,12000,0,0,0,12000,12000,12000,12000,0,0,13000,13000,0,13000,0
"Pasar Sederhana","Daging Ayam Kampung",0,75000,75000,0,0,75000,75000,0,75000,75000,0,0,0,0,75000,75000,75000,0,0,0,75000,75000,75000,75000,0,0,75000,75000,0,75000,0
"Pasar Sederhana","Telur Ayam Kampung",0,44000,44000,0,0,44000,44000,0,44000,44000,0,0,0,0,44000,44000,44000,0,0,0,44000,44000,44000,44000,0,0,44000,44000,0,44000,0
"Pasar Sederhana","Susu Kental Manis Merk Bendera",0,10000,10000,0,0,10000,10000,0,10000,10000,0,0,0,0,10000,10000,10000,0,0,0,10000,10000,10000,10000,0,0,10000,10000,0,10000,0
"Pasar Sederhana","Susu Kental Manis Merk Indomilk",0,10000,10000,0,0,10000,10000,0,10000,10000,0,0,0,0,10000,10000,10000,0,0,0,10000,10000,10000,10000,0,0,10000,10000,0,10000,0
"Pasar Sederhana","Garam Beryodium Bata",0,3500,3500,0,0,3500,3500,0,3500,3500,0,0,0,0,3500,3500,3500,0,0,0,3500,3500,3500,3500,0,0,3500,3500,0,3500,0
"Pasar Sederhana","Garam Beryodium Halus",0,12000,12000,0,0,12000,12000,0,12000,12000,0,0,0,0,12000,12000,12000,0,0,0,12000,12000,12000,12000,0,0,12000,12000,0,12000,0
"Pasar Sederhana","Tepung Terigu Cakra Kembar",0,8000,8000,0,0,8000,13000,0,8000,8000,0,0,0,0,8000,8000,8000,0,0,0,8000,8000,8000,8000,0,0,8000,8000,0,8000,0
"Pasar Sederhana","Tepung Terigu Kunci",0,7000,7000,0,0,7000,7000,0,7000,7000,0,0,0,0,8000,7000,7000,0,0,0,7000,7000,7000,7000,0,0,7000,7000,0,7000,0
"Pasar Sederhana","Mie Instan",0,2500,2500,0,0,2500,2500,0,2500,2500,0,0,0,0,2500,2500,2500,0,0,0,2500,2500,2500,2500,0,0,2500,2500,0,2500,0
"Pasar Sederhana","Cabe Rawit Hijau",0,35000,28000,0,0,28000,35000,0,35000,50000,0,0,0,0,35000,35000,30000,0,0,0,30000,30000,30000,36000,0,0,36000,36000,0,36000,0
"Pasar Sederhana","Kacang Hijau",0,22000,22000,0,0,24000,24000,0,24000,24000,0,0,0,0,24000,24000,24000,0,0,0,24000,24000,24000,24000,0,0,24000,24000,0,24000,0
"Pasar Sederhana","Susu Bubuk Dancow",0,43700,43700,0,0,43700,43700,0,43700,43700,0,0,0,0,43700,43700,43700,0,0,0,43700,43700,43700,43700,0,0,43700,43700,0,43700,0
"Pasar Sederhana","Susu Bubuk Indomilk",0,36100,36100,0,0,36100,36100,0,36100,36100,0,0,0,0,36100,36100,10000,0,0,0,10000,36100,36100,36100,0,0,36100,36100,0,36100,0
"Pasar Sederhana","Ikan Kembung",0,45000,45000,0,0,45000,45000,0,45000,45000,0,0,0,0,45000,45000,45000,0,0,0,45000,45000,45000,45000,0,0,45000,45000,0,45000,0
